Enabling Source,Enabling Component,Enabling Component Description,Dependent Component,Dependent Component Description,Dependent Source,Linkage mandated by what US Code or OMB policy?,Enabling Component URL,Dependent Component URL,Enabling Source Agency,Dependent Source Agency,Notes and keywords,Keywords Tab Items Found,Enabling Component Office of Primary Interest,Dependent Component Office of Primary Interest,edits,valid,similarity,confidence,transitive_support,matched_enabling_index,matched_dependent_index,alignment_rationale,Enabling Fetch Status,Dependent Fetch Status,SimilarityTimesConfidence
"EO 14318, Accelerating Federal Permitting of Data Center Infrastructure","EO 14318, Accelerating Federal Permitting of Data Center Infrastructure - 3(a). Establishment of Program - Section 2(b) (Definition – Covered Components)","Clarify “Covered Components” to include energy infrastructure, semiconductors, networking equipment, data storage, and related facilities necessary for Data Center Projects.","America’s AI Action Plan 2025 - Create Streamlined Permitting for Data Centers, Semiconductor Manufacturing Facilities, and Energy Infrastructure while Guaranteeing Security","Like most general-purpose technologies of the past, AI will require new infrastructure— factories to produce chips, data centers to run those chips, and new sources of energy to power it all. America’s environmental permitting system and other regulations make it almost impossible to build this infrastructure in the United States with the speed that is required. Additionally, this infrastructure must also not be built with any adversarial technology that could undermine U.S. AI dominance. Fortunately, the Trump Administration has made unprecedented progress in reforming this system. Since taking office, President Trump has already reformed National Environmental Policy Act (NEPA) regulations across almost every relevant Federal agency, jumpstarted a permitting technology modernization program, created the National Energy Dominance Council (NEDC), and launched the United States Investment Accelerator. Now is the time to build on that momentum. -- Recommended Policy Actions -- Establish new Categorical Exclusions under NEPA to cover data center-related actions that normally do not have a significant effect on the environment. Where possible, adopt Categorical Exclusions already established by other agencies so that each relevant agency can proceed with maximum efficiency. Expand the use of the FAST-41 process to cover all data center and data center energy projects eligible under the Fixing America’s Surface Transportation Act of 2015. Explore the need for a nationwide Clean Water Act Section 404 permit for data centers, and, if adopted, ensure that this permit does not require a Pre-Construction Notification and covers development sites consistent with the size of a modern AI data center. 26 Expedite environmental permitting by streamlining or reducing regulations promulgated under the Clean Air Act, the Clean Water Act, the Comprehensive Environmental Response, Compensation, and Liability Act, and other relevant related laws. , Make Federal lands available for data center construction and the construction of power generation infrastructure for those data centers by directing agencies with significant land portfolios to identify sites suited to large-scale development. Maintain security guardrails to prohibit adversaries from inserting sensitive inputs to this infrastructure. Ensure that the domestic AI computing stack is built on American products and that the infrastructure that supports AI development such as energy and telecommunications are free from foreign adversary information and communications technology and services (ICTS)—including software and relevant hardware. Expand efforts to apply AI to accelerate and improve environmental reviews, such as through expanding the number of agencies participating in DOE’s PermitAI project.",America’s AI Action Plan 2025,,https://www.federalregister.gov/executive-order/14318,https://www.whitehouse.gov/wp-content/uploads/2025/07/Americas-AI-Action-Plan.pdf,EOP,EOP,"energy, infrastructure, data, related, center, projects, data center",,EOP,EOP,,,0.09047431430899995,0.090474,,2,533,"Potential progression alignment based on shared language: energy, infrastructure, data, related, center, projects, data center. To-Be-Crosswalked row 2; Components row 533.",,,0.008185573112792461
"EO 14318, Accelerating Federal Permitting of Data Center Infrastructure","EO 14318, Accelerating Federal Permitting of Data Center Infrastructure - 3(a). Establishment of Program - Section 2(b) (Definition – Covered Components)","Clarify “Covered Components” to include energy infrastructure, semiconductors, networking equipment, data storage, and related facilities necessary for Data Center Projects.",USDA Data Strategy 2021 3.1 Data Warehouse,Slated for completion in FY23 the enterprise warehouse will serve as a crucial part of the departmental infrastructure by promoting security integrity and centralization for data storage and management to support analytics capabilities,USDA Data Strategy 2021,,https://www.federalregister.gov/executive-order/14318,https www google com search q site gov USDA Data Strategy 2021 3.1 Data Warehouse USDA Data Strategy 2021 USDA Data Strategy 2021 3.1 Data Warehouse,EOP,,"infrastructure, data, storage, data storage",,EOP,,,,0.06690461198038171,0.066905,,2,5386,"Potential progression alignment based on shared language: infrastructure, data, storage, data storage. To-Be-Crosswalked row 2; Components row 5386.",,,0.004476253064547439
"EO 14318, Accelerating Federal Permitting of Data Center Infrastructure","EO 14318, Accelerating Federal Permitting of Data Center Infrastructure - 3(a). Establishment of Program - Section 2(b) (Definition – Covered Components)","Clarify “Covered Components” to include energy infrastructure, semiconductors, networking equipment, data storage, and related facilities necessary for Data Center Projects.",FY2024-2026 USDA Data Strategy Goal 1: Data Governance & Leadership,"USDA will strengthen enterprise data governance and data leadership to coordinate and enhance data and analytics development, management, infrastructure, and tools. Investing in data governance is key to navigate the increasing volume and complexity of data that USDA collects and shares. This investment will be driven by data leaders, especially the Assistant Chief Data Officers (ACDOs) at each Mission Area and Staff Office. These data leaders will promote best practices and frameworks across the Department to ensure USDA manages data effectively. Data governance processes driven by our data leaders will benefit USDA's stakeholders by supporting the preparation, integration, analysis, and sharing of data. Specifically, accurate and high-qual_x0002_ity data supports better resource allocation and strategic planning and enables data analytics. Data governance also promotes trans_x0002_parency by identifying clear data-related roles, responsibilities, and processes, while helping our organization comply with federal regulations and laws, including those related to data security. We aim to increase our support for data governance over the next three years by evolving the ACDO role in partnership with the Chief Data Officer (CDO), communicating the value of our data investment, and working with groups within USDA and across Government to strengthen the data program",FY2024-2026 USDA Data Strategy,,https://www.federalregister.gov/executive-order/14318,https://www.usda.gov/sites/default/files/documents/fy-2024-2026-usda-data-strategy.pdf,EOP,USDA,"infrastructure, data, related",,EOP,USDA,,,0.066679180539967,0.066679,,2,3945,"Potential progression alignment based on shared language: infrastructure, data, related. To-Be-Crosswalked row 2; Components row 3945.",,,0.00444610107922446
"EO 14318, Accelerating Federal Permitting of Data Center Infrastructure","EO 14318, Accelerating Federal Permitting of Data Center Infrastructure - 3(a). Establishment of Program - Section 2(b) (Definition – Covered Components)","Clarify “Covered Components” to include energy infrastructure, semiconductors, networking equipment, data storage, and related facilities necessary for Data Center Projects.",FY2024-2026 USDA Data Strategy Goal.1 Data Governance Leadership,USDA will strengthen enterprise data governance and data leadership to coordinate and enhance data and analytics development management infrastructure and tools Investing in data governance is key to navigate the increasing volume and complexity of data that USDA collects and shares This investment will be driven by data leaders especially the Assistant Chief Data Officers ACDOs at each Mission Area and Staff Office These data leaders will promote best practices and frameworks across the Department to ensure USDA manages data effectively Data governance processes driven by our data leaders will benefit USDA s stakeholders by supporting the preparation integration analysis and sharing of data Specifically accurate and high qual_x0002_ity data supports better resource allocation and strategic planning and enables data analytics Data governance also promotes trans_x0002_parency by identifying clear data related roles responsibilities and processes while helping our organization comply with federal regulations and laws including those related to data security We aim to increase our support for data governance over the next three years by evolving the ACDO role in partnership with the Chief Data Officer CDO communicating the value of our data investment and working with groups within USDA and across Government to strengthen the data program,FY2024 2026 USDA Data Strategy,,https://www.federalregister.gov/executive-order/14318,https://www.usda.gov/sites/default/files/documents/fy-2024-2026-usda-data-strategy.pdf,EOP,USDA Office of the Chief Data Officer,"infrastructure, data, related",,EOP,USDA,,,0.066679180539967,0.066679,,2,3950,"Potential progression alignment based on shared language: infrastructure, data, related. To-Be-Crosswalked row 2; Components row 3950.",,,0.00444610107922446
"EO 14318, Accelerating Federal Permitting of Data Center Infrastructure","EO 14318, Accelerating Federal Permitting of Data Center Infrastructure - 3(a). Establishment of Program - Section 2(b) (Definition – Covered Components)","Clarify “Covered Components” to include energy infrastructure, semiconductors, networking equipment, data storage, and related facilities necessary for Data Center Projects.",USDA National Institute of Food and Agriculture Budget Explanatory Notes 2025 Research and Education Activities - Open Data Standards for Neutral Data Repositories,"P.L. 117-328 of the Consolidated Appropriations Act of 2023 provides funding for Open Data Standards for Neutral Data Repository, a public-private cooperative open framework based on open data standards for neutral data repository solutions to preserve and share the big data generated by technological advancements in the agriculture industry and for the preservation and curation of data in collaboration with land-grant universities. The data framework supports development of advanced technologies and practices to meet the increasingly complex agricultural challenges of farmers and ranchers. The Open Data Framework builds a repository needed to create a neutral and secure data repository and cooperative where producers, universities and nonprofit entities can store and share data in ways that will foster agricultural innovation and will support technological progress, production efficiencies, and environmental stewardship. Projects include details of the existing data storage and sharing landscape, communication plans for sharing knowledge of the existing cyberinfrastructure facilities, and details of how the project will leverage existing infrastructure and knowledge.",USDA National Institute of Food and Agriculture Budget Explanatory Notes 2025,,https://www.federalregister.gov/executive-order/14318,https://www.google.com/search?q=site:.gov+USDA+National+Institute+of+Food+and+Agriculture+Budget+Explanatory+Notes+2025+Research+and+Education+Activities+-+Open+Data+Standards+for+Neutral+Data+Repositories+USDA+National+Institute+of+Food+and+Agriculture+Budget+Explanatory+Notes+2025::USDA+National+Institute+of+Food+and+Agriculture+Budget+Explanatory+Notes+2025+Research+and+Education+Activities+-+Open+Data+Standards+for+Neutral+Data+Repositories,EOP,USDA,"include, infrastructure, data, storage, facilities, projects, data storage",,EOP,OMB M-24-10 Memo on Artificial Intelligence (AI),,,0.06300925241090193,0.063009,,2,6471,"Potential progression alignment based on shared language: include, infrastructure, data, storage, facilities, projects, data storage. To-Be-Crosswalked row 2; Components row 6471.",,,0.003970149985158519
"EO 14318, Accelerating Federal Permitting of Data Center Infrastructure","EO 14318, Accelerating Federal Permitting of Data Center Infrastructure - 3(b)(i)–(v). Proposal Requirements - Section 2(d) (Definition – Qualifying Project)",Define “Qualifying Project” based on criteria: ≥ $500M capital expenditure; ≥ 100 MW incremental load; national security relevance; or designation by appropriate Secretaries.,OMB M 25 34 R D Budget Priority.3 Strengthen American Security,American leadership in R D for strategic competitiveness including national security and economic security is key to achieving American strength and prosperity Each of the R D budgetary priorities established in this memorandum includes elements with critical relevance to U S national security Targeted Federal investments in those and additional R D priority areas in national security will lead to robust and flexible capabilities for mitigating and responding to evolving challenges posed by strategic competitors and adversarial threats as well as natural hazards,OMB M 25 34 Fiscal Year FY 2027 Administration Research and Development Budget Priorities and Cross Cutting Actions ,,https://www.federalregister.gov/executive-order/14318,https www whitehouse gov omb information resources guidance memoranda ,EOP,OMB,"national, security, relevance, national security",,EOP,OMB,,,0.05475040898171732,0.05475,,3,4436,"Potential progression alignment based on shared language: national, security, relevance, national security. To-Be-Crosswalked row 3; Components row 4436.",,,0.0029975848917490233
"EO 14318, Accelerating Federal Permitting of Data Center Infrastructure","EO 14318, Accelerating Federal Permitting of Data Center Infrastructure - 3(b)(i)–(v). Proposal Requirements - Section 2(d) (Definition – Qualifying Project)",Define “Qualifying Project” based on criteria: ≥ $500M capital expenditure; ≥ 100 MW incremental load; national security relevance; or designation by appropriate Secretaries.,OMB M-25-34 - R&D Budget Priority 3: Strengthen American Security,"American leadership in R&D for strategic competitiveness-including national security and economic security-is key to achieving American strength and prosperity. Each of the R&D budgetary priorities established in this memorandum includes elements with critical relevance to U.S. national security. Targeted Federal investments in those and additional R&D priority areas in national security will lead to robust and flexible capabilities for mitigating and responding to evolving challenges posed by strategic competitors and adversarial threats, as well as natural hazards.","OMB M-25-34, Fiscal Year (FY) 2027 Administration Research and Development Budget Priorities and Cross-Cutting Actions ",,https://www.federalregister.gov/executive-order/14318,https://www.whitehouse.gov/omb/information-resources/guidance/memoranda/,EOP,OMB,"national, security, relevance, national security",,EOP,OMB,,,0.05475040898171732,0.05475,,3,4560,"Potential progression alignment based on shared language: national, security, relevance, national security. To-Be-Crosswalked row 3; Components row 4560.",,,0.0029975848917490233
"EO 14318, Accelerating Federal Permitting of Data Center Infrastructure","EO 14318, Accelerating Federal Permitting of Data Center Infrastructure - 3(b)(i)–(v). Proposal Requirements - Section 2(d) (Definition – Qualifying Project)",Define “Qualifying Project” based on criteria: ≥ $500M capital expenditure; ≥ 100 MW incremental load; national security relevance; or designation by appropriate Secretaries.,44 USC 3556 - Federal information security incident center ,"The Secretary shall ensure the operation of a central Federal information security incident center to- (1) provide timely technical assistance to operators of agency information systems regarding security incidents, including guidance on detecting and handling information security incidents; (2) compile and analyze information about incidents that threaten information security; (3) inform operators of agency information systems about current and potential information security threats, and vulnerabilities; (4) provide, as appropriate, intelligence and other information about cyber threats, vulnerabilities, and incidents to agencies to assist in risk assessments conducted under section 3554(b); and (5) consult with the National Institute of Standards and Technology, agencies or offices operating or exercising control of national security systems (including the National Security Agency), and such other agencies or offices in accordance with law and as directed by the President regarding information security incidents and related matters. (b) NATIONAL SECURITY SYSTEMS.-Each agency operating or exercising control of a national security system shall share information about information security incidents, threats, and vulnerabilities with the Federal information security incident center to the extent consistent with standards and guidelines for national security systems, issued in accordance with law and as directed by the President. (Added Pub. L. 113–283, §2(a), Dec. 18, 2014, 128 Stat. 3084.)",Federal Information Security Modernization Act (FISMA) - 44 USC Ch 35 SubCh II,,https://www.federalregister.gov/executive-order/14318,https://www.law.cornell.edu/uscode/text/44/3556,EOP,Congress,"national, security, appropriate, national security",,EOP,,,,0.048328397350551486,0.048328,,3,286,"Potential progression alignment based on shared language: national, security, appropriate, national security. To-Be-Crosswalked row 3; Components row 286.",,,0.0023356147871574522
"EO 14318, Accelerating Federal Permitting of Data Center Infrastructure","EO 14318, Accelerating Federal Permitting of Data Center Infrastructure - 3(b)(i)–(v). Proposal Requirements - Section 2(d) (Definition – Qualifying Project)",Define “Qualifying Project” based on criteria: ≥ $500M capital expenditure; ≥ 100 MW incremental load; national security relevance; or designation by appropriate Secretaries.,44 USC 3556 Federal information security incident center ,The Secretary shall ensure the operation of a central Federal information security incident center to.1 provide timely technical assistance to operators of agency information systems regarding security incidents including guidance on detecting and handling information security incidents.2 compile and analyze information about incidents that threaten information security.3 inform operators of agency information systems about current and potential information security threats and vulnerabilities.4 provide as appropriate intelligence and other information about cyber threats vulnerabilities and incidents to agencies to assist in risk assessments conducted under section 3554 b and.5 consult with the National Institute of Standards and Technology agencies or offices operating or exercising control of national security systems including the National Security Agency and such other agencies or offices in accordance with law and as directed by the President regarding information security incidents and related matters b NATIONAL SECURITY SYSTEMS Each agency operating or exercising control of a national security system shall share information about information security incidents threats and vulnerabilities with the Federal information security incident center to the extent consistent with standards and guidelines for national security systems issued in accordance with law and as directed by the President Added Pub L 113 283.2 a Dec 18 2014 128 Stat 3084,Federal Information Security Modernization Act FISMA 44 USC Ch 35 SubCh II,,https://www.federalregister.gov/executive-order/14318,https/www/law/cornell/edu/uscode/text/44/3556,EOP,,"national, security, appropriate, national security",,EOP,,,,0.048328397350551486,0.048328,,3,287,"Potential progression alignment based on shared language: national, security, appropriate, national security. To-Be-Crosswalked row 3; Components row 287.",,,0.0023356147871574522
"EO 14318, Accelerating Federal Permitting of Data Center Infrastructure","EO 14318, Accelerating Federal Permitting of Data Center Infrastructure - 3(b)(i)–(v). Proposal Requirements - Section 2(d) (Definition – Qualifying Project)",Define “Qualifying Project” based on criteria: ≥ $500M capital expenditure; ≥ 100 MW incremental load; national security relevance; or designation by appropriate Secretaries.,EO 12958 - Classified National Security Information,"EO 13526, Classified National Security Information","EO 13526, Classified National Security Information",,https://www.federalregister.gov/executive-order/14318,https://www.federalregister.gov/documents/search?term=Executive%20Order%2012958,EOP,,"national, security, national security",,EOP,,,,0.04450596368135362,0.044506,,3,772,"Potential progression alignment based on shared language: national, security, national security. To-Be-Crosswalked row 3; Components row 772.",,,0.001980782419602324
