Enabling Source,Enabling Component,Enabling Component Description,Dependent Component,Dependent Component Description,Dependent Source,Linkage mandated by what US Code or OMB policy?,Enabling Component URL,Dependent Component URL,Enabling Source Agency,Dependent Source Agency,Notes and keywords,Keywords Tab Items Found,Enabling Component Office of Primary Interest,Dependent Component Office of Primary Interest,edits,valid,similarity,confidence,transitive_support,matched_enabling_index,matched_dependent_index,alignment_rationale,Enabling Fetch Status,Dependent Fetch Status,SimilarityTimesConfidence
"EO 14318, Accelerating Federal Permitting of Data Center Infrastructure","EO 14318, Accelerating Federal Permitting of Data Center Infrastructure - Section 10(c) (No Enforceable Rights)",Specify that the order does not create any enforceable rights by any party against the U.S. government or its officials.,"EO 14320, Promoting The Export of the American AI Technology Stack - 5(c). No Rights Created",State that the order does not create enforceable rights by any party against the U.S. government or its officials.,"EO 14320, Promoting The Export of the American AI Technology Stack",,https://www.federalregister.gov/executive-order/14318,https://www.federalregister.gov/executive-order/14320,EOP,EOP,"order, does, create, enforceable, rights, party, government, officials",,EOP,EOP,,,0.8452406511437112,0.845241,,14,7334,"Potential progression alignment based on shared language: order, does, create, enforceable, rights, party, government, officials. To-Be-Crosswalked row 14; Components row 7334.",,,0.7144320532133616
"EO 14318, Accelerating Federal Permitting of Data Center Infrastructure","EO 14318, Accelerating Federal Permitting of Data Center Infrastructure - Section 10(c) (No Enforceable Rights)",Specify that the order does not create any enforceable rights by any party against the U.S. government or its officials.,"EO 14320, Promoting The Export of the American AI Technology Stack - 5(c). No Rights Created",State that the order does not create enforceable rights by any party against the U.S. government or its officials.,"EO 14320, Promoting The Export of the American AI Technology Stack",,https://www.federalregister.gov/executive-order/14318,https://www.federalregister.gov/executive-order/14320,EOP,EOP,"order, does, create, enforceable, rights, party, government, officials",,EOP,EOP,,,0.8452406511437112,0.845241,,14,7339,"Potential progression alignment based on shared language: order, does, create, enforceable, rights, party, government, officials. To-Be-Crosswalked row 14; Components row 7339.",,,0.7144320532133616
"EO 14318, Accelerating Federal Permitting of Data Center Infrastructure","EO 14318, Accelerating Federal Permitting of Data Center Infrastructure - Section 10(a) (Preservation of Agency Authority)","Clarify that the order does not affect existing legal authorities of executive departments, agencies, or the OMB Director.","EO 14320, Promoting The Export of the American AI Technology Stack - 5(a). Preservation of Agency Authority","Clarify that nothing in the order alters existing legal authorities vested in executive departments, agencies, or the OMB Director.","EO 14320, Promoting The Export of the American AI Technology Stack",,https://www.federalregister.gov/executive-order/14318,https://www.federalregister.gov/executive-order/14320,EOP,EOP,"clarify, order, existing, legal, authorities, executive, departments, agencies",,EOP,EOP,,,0.6084785093234227,0.608479,,12,7332,"Potential progression alignment based on shared language: clarify, order, existing, legal, authorities, executive, departments, agencies. To-Be-Crosswalked row 12; Components row 7332.",,,0.3702463948746069
"EO 14318, Accelerating Federal Permitting of Data Center Infrastructure","EO 14318, Accelerating Federal Permitting of Data Center Infrastructure - Section 10(a) (Preservation of Agency Authority)","Clarify that the order does not affect existing legal authorities of executive departments, agencies, or the OMB Director.","EO 14320, Promoting The Export of the American AI Technology Stack - 5(a). Preservation of Agency Authority","Clarify that nothing in the order alters existing legal authorities vested in executive departments, agencies, or the OMB Director.","EO 14320, Promoting The Export of the American AI Technology Stack",,https://www.federalregister.gov/executive-order/14318,https://www.federalregister.gov/executive-order/14320,EOP,EOP,"clarify, order, existing, legal, authorities, executive, departments, agencies",,EOP,EOP,,,0.6084785093234227,0.608479,,12,7337,"Potential progression alignment based on shared language: clarify, order, existing, legal, authorities, executive, departments, agencies. To-Be-Crosswalked row 12; Components row 7337.",,,0.3702463948746069
"EO 14318, Accelerating Federal Permitting of Data Center Infrastructure","EO 14318, Accelerating Federal Permitting of Data Center Infrastructure - Section 10(d) (Publication Costs)",Assign responsibility for the costs of publication of this order to the Department of Commerce.,"EO 14320, Promoting The Export of the American AI Technology Stack - 5(d). Publication Costs",Assign responsibility for publication costs of the order to the Department of Commerce.,"EO 14320, Promoting The Export of the American AI Technology Stack",,https://www.federalregister.gov/executive-order/14318,https://www.federalregister.gov/executive-order/14320,EOP,EOP,"assign, responsibility, costs, publication, order, department, commerce, assign responsibility",,EOP,EOP,,,0.5689871282934077,0.568987,,15,7335,"Potential progression alignment based on shared language: assign, responsibility, costs, publication, order, department, commerce, assign responsibility. To-Be-Crosswalked row 15; Components row 7335.",,,0.3237462791662812
"EO 14318, Accelerating Federal Permitting of Data Center Infrastructure","EO 14318, Accelerating Federal Permitting of Data Center Infrastructure - Section 10(d) (Publication Costs)",Assign responsibility for the costs of publication of this order to the Department of Commerce.,"EO 14320, Promoting The Export of the American AI Technology Stack - 5(d). Publication Costs",Assign responsibility for publication costs of the order to the Department of Commerce.,"EO 14320, Promoting The Export of the American AI Technology Stack",,https://www.federalregister.gov/executive-order/14318,https://www.federalregister.gov/executive-order/14320,EOP,EOP,"assign, responsibility, costs, publication, order, department, commerce, assign responsibility",,EOP,EOP,,,0.5689871282934077,0.568987,,15,7340,"Potential progression alignment based on shared language: assign, responsibility, costs, publication, order, department, commerce, assign responsibility. To-Be-Crosswalked row 15; Components row 7340.",,,0.3237462791662812
"EO 14318, Accelerating Federal Permitting of Data Center Infrastructure","EO 14318, Accelerating Federal Permitting of Data Center Infrastructure - Section 10(b) (Implementation and Appropriations)",Require implementation consistent with law and subject to availability of appropriations.,"EO 14320, Promoting The Export of the American AI Technology Stack - 5(b). Consistency and Appropriations",Ensure that implementation is consistent with applicable law and subject to available appropriations.,"EO 14320, Promoting The Export of the American AI Technology Stack",,https://www.federalregister.gov/executive-order/14318,https://www.federalregister.gov/executive-order/14320,EOP,EOP,"implementation, consistent, law, subject, appropriations, implementation consistent, law subject",,EOP,EOP,,,0.3925124231282848,0.392512,,13,7333,"Potential progression alignment based on shared language: implementation, consistent, law, subject, appropriations, implementation consistent, law subject. To-Be-Crosswalked row 13; Components row 7333.",,,0.15406583622692935
"EO 14318, Accelerating Federal Permitting of Data Center Infrastructure","EO 14318, Accelerating Federal Permitting of Data Center Infrastructure - Section 10(b) (Implementation and Appropriations)",Require implementation consistent with law and subject to availability of appropriations.,"EO 14320, Promoting The Export of the American AI Technology Stack - 5(b). Consistency and Appropriations",Ensure that implementation is consistent with applicable law and subject to available appropriations.,"EO 14320, Promoting The Export of the American AI Technology Stack",,https://www.federalregister.gov/executive-order/14318,https://www.federalregister.gov/executive-order/14320,EOP,EOP,"implementation, consistent, law, subject, appropriations, implementation consistent, law subject",,EOP,EOP,,,0.3925124231282848,0.392512,,13,7338,"Potential progression alignment based on shared language: implementation, consistent, law, subject, appropriations, implementation consistent, law subject. To-Be-Crosswalked row 13; Components row 7338.",,,0.15406583622692935
"EO 14318, Accelerating Federal Permitting of Data Center Infrastructure","EO 14318, Accelerating Federal Permitting of Data Center Infrastructure - 4(b). Delegation to SBA and OSTP - Section 3 (Encouraging Qualifying Projects)","Within 90 days, the Secretary of Commerce, in consultation with OSTP and other agencies, shall launch a financial support initiative—via loans, loan guarantees, grants, tax incentives, and offtake agreements—for Qualifying Projects.","EO 14320, Promoting The Export of the American AI Technology Stack - 3(a). Establishment of Program","Within 90 days, the Secretary of Commerce (in consultation with DOS and OSTP) shall establish and implement the American AI Exports Program.","EO 14320, Promoting The Export of the American AI Technology Stack",,https://www.federalregister.gov/executive-order/14318,https://www.federalregister.gov/executive-order/14320,EOP,EOP,"days, secretary, commerce, consultation, ostp, shall, 90 days, days secretary",,EOP,EOP,,,0.23284245372697238,0.232842,,8,7323,"Potential progression alignment based on shared language: days, secretary, commerce, consultation, ostp, shall, 90 days, days secretary. To-Be-Crosswalked row 8; Components row 7323.",,,0.0542155026106957
"EO 14318, Accelerating Federal Permitting of Data Center Infrastructure","EO 14318, Accelerating Federal Permitting of Data Center Infrastructure - 4(b). Delegation to SBA and OSTP - Section 3 (Encouraging Qualifying Projects)","Within 90 days, the Secretary of Commerce, in consultation with OSTP and other agencies, shall launch a financial support initiative—via loans, loan guarantees, grants, tax incentives, and offtake agreements—for Qualifying Projects.",USDA BEN Rural Business-Cooperative Service 2025,"USDA Rural Development's (RD) Business - Cooperative Programs provide loans, loan guarantees, grants, and payments designed to increase economic opportunity in rural America.",USDA Budget Explanatory Notes 2025,,https://www.federalregister.gov/executive-order/14318,https://www.google.com/search?q=site:.gov+USDA+BEN+Rural+Business-Cooperative+Service+2025+USDA+Budget+Explanatory+Notes+2025::USDA+BEN+Rural+Business-Cooperative+Service+2025,EOP,USDA,"loans, loan, guarantees, grants, loans loan, loan guarantees, guarantees grants",,EOP,,,,0.16269281852543127,0.162693,,8,5350,"Potential progression alignment based on shared language: loans, loan, guarantees, grants, loans loan, loan guarantees, guarantees grants. To-Be-Crosswalked row 8; Components row 5350.",,,0.02646898272435799
"EO 14318, Accelerating Federal Permitting of Data Center Infrastructure","EO 14318, Accelerating Federal Permitting of Data Center Infrastructure - Section 1 (Policy and Purpose)","Prioritize easing federal regulatory burdens to accelerate buildout of AI data center infrastructure, and utilize federally owned land to support data center development for American technological leadership.","America’s AI Action Plan 2025 - Create Streamlined Permitting for Data Centers, Semiconductor Manufacturing Facilities, and Energy Infrastructure while Guaranteeing Security","Like most general-purpose technologies of the past, AI will require new infrastructure— factories to produce chips, data centers to run those chips, and new sources of energy to power it all. America’s environmental permitting system and other regulations make it almost impossible to build this infrastructure in the United States with the speed that is required. Additionally, this infrastructure must also not be built with any adversarial technology that could undermine U.S. AI dominance. Fortunately, the Trump Administration has made unprecedented progress in reforming this system. Since taking office, President Trump has already reformed National Environmental Policy Act (NEPA) regulations across almost every relevant Federal agency, jumpstarted a permitting technology modernization program, created the National Energy Dominance Council (NEDC), and launched the United States Investment Accelerator. Now is the time to build on that momentum. -- Recommended Policy Actions -- Establish new Categorical Exclusions under NEPA to cover data center-related actions that normally do not have a significant effect on the environment. Where possible, adopt Categorical Exclusions already established by other agencies so that each relevant agency can proceed with maximum efficiency. Expand the use of the FAST-41 process to cover all data center and data center energy projects eligible under the Fixing America’s Surface Transportation Act of 2015. Explore the need for a nationwide Clean Water Act Section 404 permit for data centers, and, if adopted, ensure that this permit does not require a Pre-Construction Notification and covers development sites consistent with the size of a modern AI data center. 26 Expedite environmental permitting by streamlining or reducing regulations promulgated under the Clean Air Act, the Clean Water Act, the Comprehensive Environmental Response, Compensation, and Liability Act, and other relevant related laws. , Make Federal lands available for data center construction and the construction of power generation infrastructure for those data centers by directing agencies with significant land portfolios to identify sites suited to large-scale development. Maintain security guardrails to prohibit adversaries from inserting sensitive inputs to this infrastructure. Ensure that the domestic AI computing stack is built on American products and that the infrastructure that supports AI development such as energy and telecommunications are free from foreign adversary information and communications technology and services (ICTS)—including software and relevant hardware. Expand efforts to apply AI to accelerate and improve environmental reviews, such as through expanding the number of agencies participating in DOE’s PermitAI project.",America’s AI Action Plan 2025,,https://www.federalregister.gov/executive-order/14318,https://www.whitehouse.gov/wp-content/uploads/2025/07/Americas-AI-Action-Plan.pdf,EOP,EOP,"federal, accelerate, data, center, infrastructure, land, development, american",,EOP,EOP,,,0.13412558654035292,0.134126,,11,533,"Potential progression alignment based on shared language: federal, accelerate, data, center, infrastructure, land, development, american. To-Be-Crosswalked row 11; Components row 533.",,,0.017989728420311376
"EO 14318, Accelerating Federal Permitting of Data Center Infrastructure","EO 14318, Accelerating Federal Permitting of Data Center Infrastructure - Section 7(a) (EPA Regulatory Modifications)","EPA Administrator shall update/modify regulations under the Clean Air Act, Clean Water Act, CERCLA, TSCA, and other laws to expedite permitting for Qualifying Projects.","America’s AI Action Plan 2025 - Create Streamlined Permitting for Data Centers, Semiconductor Manufacturing Facilities, and Energy Infrastructure while Guaranteeing Security","Like most general-purpose technologies of the past, AI will require new infrastructure— factories to produce chips, data centers to run those chips, and new sources of energy to power it all. America’s environmental permitting system and other regulations make it almost impossible to build this infrastructure in the United States with the speed that is required. Additionally, this infrastructure must also not be built with any adversarial technology that could undermine U.S. AI dominance. Fortunately, the Trump Administration has made unprecedented progress in reforming this system. Since taking office, President Trump has already reformed National Environmental Policy Act (NEPA) regulations across almost every relevant Federal agency, jumpstarted a permitting technology modernization program, created the National Energy Dominance Council (NEDC), and launched the United States Investment Accelerator. Now is the time to build on that momentum. -- Recommended Policy Actions -- Establish new Categorical Exclusions under NEPA to cover data center-related actions that normally do not have a significant effect on the environment. Where possible, adopt Categorical Exclusions already established by other agencies so that each relevant agency can proceed with maximum efficiency. Expand the use of the FAST-41 process to cover all data center and data center energy projects eligible under the Fixing America’s Surface Transportation Act of 2015. Explore the need for a nationwide Clean Water Act Section 404 permit for data centers, and, if adopted, ensure that this permit does not require a Pre-Construction Notification and covers development sites consistent with the size of a modern AI data center. 26 Expedite environmental permitting by streamlining or reducing regulations promulgated under the Clean Air Act, the Clean Water Act, the Comprehensive Environmental Response, Compensation, and Liability Act, and other relevant related laws. , Make Federal lands available for data center construction and the construction of power generation infrastructure for those data centers by directing agencies with significant land portfolios to identify sites suited to large-scale development. Maintain security guardrails to prohibit adversaries from inserting sensitive inputs to this infrastructure. Ensure that the domestic AI computing stack is built on American products and that the infrastructure that supports AI development such as energy and telecommunications are free from foreign adversary information and communications technology and services (ICTS)—including software and relevant hardware. Expand efforts to apply AI to accelerate and improve environmental reviews, such as through expanding the number of agencies participating in DOE’s PermitAI project.",America’s AI Action Plan 2025,,https://www.federalregister.gov/executive-order/14318,https://www.whitehouse.gov/wp-content/uploads/2025/07/Americas-AI-Action-Plan.pdf,EOP,EOP,"regulations, clean, air, act, water, laws, expedite, permitting",,EOP,EOP,,,0.11617265560827846,0.116173,,21,533,"Potential progression alignment based on shared language: regulations, clean, air, act, water, laws, expedite, permitting. To-Be-Crosswalked row 21; Components row 533.",,,0.013496125919980532
